variavel,categoria,valor,Ano
Populacao,total_populacao,0.68474355072349,2013
Renda,1º Quintil,0.496509673524465,2013
Renda,2º Quintil,0.598754838811419,2013
Renda,3º Quintil,0.690080934870417,2013
Renda,4º Quintil,0.787272312488607,2013
Renda,5º Quintil,0.873941250738961,2013
Raca_cor,Branca,0.748214056526179,2013
Raca_cor,Parda,0.610313727101001,2013
Raca_cor,Preta,0.640663677234844,2013
Populacao,total_populacao,0.758011767657873,2019
Renda,1º Quintil,0.628586466515342,2019
Renda,2º Quintil,0.695731000026803,2019
Renda,3º Quintil,0.773633163323679,2019
Renda,4º Quintil,0.810254191782962,2019
Renda,5º Quintil,0.899222631493888,2019
Raca_cor,Branca,0.795316244932867,2019
Raca_cor,Parda,0.718409366932621,2019
Raca_cor,Preta,0.734149635586079,2019
