name_state,code_muni,code_muni_curto
Rondônia,1100015,110001
Rondônia,1100379,110037
Rondônia,1100403,110040
Rondônia,1100346,110034
Rondônia,1100023,110002
Rondônia,1100452,110045
Rondônia,1100031,110003
Rondônia,1100601,110060
Rondônia,1100049,110004
Rondônia,1100700,110070
Rondônia,1100809,110080
Rondônia,1100908,110090
Rondônia,1100056,110005
Rondônia,1100924,110092
Rondônia,1100064,110006
Rondônia,1100072,110007
Rondônia,1100080,110008
Rondônia,1100940,110094
Rondônia,1100098,110009
Rondônia,1101005,110100
Rondônia,1100106,110010
Rondônia,1101104,110110
Rondônia,1100114,110011
Rondônia,1100122,110012
Rondônia,1100130,110013
Rondônia,1101203,110120
Rondônia,1101302,110130
Rondônia,1101401,110140
Rondônia,1100148,110014
Rondônia,1100338,110033
Rondônia,1101435,110143
Rondônia,1100502,110050
Rondônia,1100155,110015
Rondônia,1101450,110145
Rondônia,1100189,110018
Rondônia,1101468,110146
Rondônia,1100205,110020
Rondônia,1100254,110025
Rondônia,1101476,110147
Rondônia,1100262,110026
Rondônia,1100288,110028
Rondônia,1100296,110029
Rondônia,1101484,110148
Rondônia,1101492,110149
Rondônia,1100320,110032
Rondônia,1101500,110150
Rondônia,1101559,110155
Rondônia,1101609,110160
Rondônia,1101708,110170
Rondônia,1101757,110175
Rondônia,1101807,110180
Rondônia,1100304,110030
Acre,1200013,120001
Acre,1200054,120005
Acre,1200104,120010
Acre,1200138,120013
Acre,1200179,120017
Acre,1200203,120020
Acre,1200252,120025
Acre,1200302,120030
Acre,1200328,120032
Acre,1200336,120033
Acre,1200344,120034
Acre,1200351,120035
Acre,1200385,120038
Acre,1200807,120080
Acre,1200393,120039
Acre,1200401,120040
Acre,1200427,120042
Acre,1200435,120043
Acre,1200500,120050
Acre,1200450,120045
Acre,1200609,120060
Acre,1200708,120070
Amazonas,1300029,130002
Amazonas,1300060,130006
Amazonas,1300086,130008
Amazonas,1300102,130010
Amazonas,1300144,130014
Amazonas,1300201,130020
Amazonas,1300300,130030
Amazonas,1300409,130040
Amazonas,1300508,130050
Amazonas,1300607,130060
Amazonas,1300631,130063
Amazonas,1300680,130068
Amazonas,1300706,130070
Amazonas,1300805,130080
Amazonas,1300839,130083
Amazonas,1300904,130090
Amazonas,1301001,130100
Amazonas,1301100,130110
Amazonas,1301159,130115
Amazonas,1301209,130120
Amazonas,1301308,130130
Amazonas,1301407,130140
