DTNASC,escolaridade_mae_novo,n_ideal,total,p_ideal
2000,1,165093,631354,26.1490384158491
2000,2,492808,1212017,40.6601557568912
2000,3,446244,819562,54.4490837788965
2000,4,246891,346533,71.2460285167646
2001,1,160631,590039,27.2237936814346
2001,2,482957,1166002,41.4199118011804
2001,3,475925,854119,55.7211582929311
2001,4,256256,348386,73.5551945256124
2002,1,170934,570510,29.9616132933691
2002,2,469690,1106871,42.434032511467
2002,3,514796,903330,56.9886973752671
2002,4,268663,355208,75.6354023558028
2003,1,148099,493818,29.990603825701
2003,2,474819,1090660,43.5350154952047
2003,3,571186,975668,58.5430699787223
2003,4,283301,367220,77.147486520342
2004,1,135622,437493,30.9998102826788
2004,2,468781,1053609,44.4928811352219
2004,3,632252,1053838,59.9951795247467
2004,4,305018,390259,78.1578387686126
2005,1,127225,404535,31.4496891492702
2005,2,454207,1027582,44.2015333082907
2005,3,678142,1117560,60.680589856473
2005,4,313553,401917,78.0143661502251
2006,1,114359,339900,33.6448955575169
2006,2,423828,947912,44.7117453940872
2006,3,708983,1155641,61.3497617339641
2006,4,325302,412459,78.8689300027397
2007,1,103524,296372,34.9304252763419
2007,2,399975,889103,44.9863514126035
2007,3,734139,1186115,61.894420018295
2007,4,334192,423450,78.9212421773527
2008,1,96801,267146,36.2352421522314
2008,2,391784,864822,45.3022702937714
2008,3,789872,1269111,62.2382124179839
2008,4,366498,461076,79.4875465216147
2009,1,84257,230467,36.559247093944
2009,2,368533,807463,45.6408528935691
2009,3,809738,1298521,62.3584832282266
2009,4,380833,477488,79.75760647388
2010,1,78648,200838,39.1599199354704
2010,2,361037,760826,47.4532941829012
2010,3,866122,1349200,64.1952268010673
2010,4,409612,506933,80.8019994752758
2011,1,74119,187124,39.6095637117633
2011,2,349562,720144,48.540569663845
2011,3,956740,1490777,64.1772713155623
2011,4,380384,462431,82.2574611131174
2012,1,63024,155471,40.5374635784166
2012,2,324506,663324,48.9211908509266
2012,3,1009996,1579377,63.9490128069486
2012,4,360861,440034,82.0075266911193
2013,1,54092,132442,40.8420289636218
2013,2,307002,622898,49.2860789406933
2013,3,1038781,1621856,64.048904465008
2013,4,384207,469129,81.8979427833282
2014,1,50910,115423,44.1073269625638
2014,2,307958,596318,51.6432507487616
2014,3,1119555,1704268,65.6912527841865
2014,4,420994,513245,82.0259330339312
2015,1,46218,101029,45.7472606875254
2015,2,299712,561550,53.3722731724691
2015,3,1180067,1755702,67.2133995404687
2015,4,456415,553304,82.4890114656681
2016,1,38046,82715,45.9964939853715
2016,2,267901,496553,53.9521460951802
2016,3,1158571,1697605,68.247383814256
2016,4,450266,541665,83.1262865424201
2017,1,35105,74327,47.2304815208471
2017,2,256898,467062,55.0029760502888
2017,3,1219172,1754265,69.4975958592345
2017,4,491416,586371,83.8063273934079
2018,1,32920,66145,49.7694459142792
2018,2,251403,439959,57.1423700844852
2018,3,1261082,1782120,70.7630238143335
2018,4,516046,613781,84.0765680267066
2019,1,31684,59208,53.5130387785434
2019,2,238239,402819,59.1429401294378
2019,3,1261773,1748173,72.176666725776
2019,4,512872,606140,84.6127957237602
2020,1,24808,49744,49.8713412672885
2020,2,206058,362480,56.8467225777974
2020,3,1199807,1698821,70.6258634664865
2020,4,491936,589787,83.4090951479093
2021,1,23449,45620,51.4007014467339
2021,2,194781,330143,58.9989792302124
2021,3,1226460,1684046,72.8281769025312
2021,4,495573,585334,84.6649946867942
2022,1,19830,36649,54.1078883462032
2022,2,170568,278755,61.1892163369267
2022,3,1208235,1625836,74.3146910266472
2022,4,503298,592887,84.8893634031443
2023,1,18492,32329,57.1994184787652
2023,2,165468,257119,64.3546373469094
2023,3,1246781,1625526,76.700157364447
2023,4,516685,601993,85.8290711021557
