Municipio,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Total
110001 ALTA FLORESTA D'OESTE,34,36,16,26,19,23,8,13,23,14,212
110002 ARIQUEMES,207,612,1445,1572,400,47,39,29,27,38,4416
110003 CABIXI,15,5,1,4,5,1,3,2,NA,3,39
110004 CACOAL,66,57,37,27,17,24,32,18,26,32,336
110005 CEREJEIRAS,6,19,2,5,7,10,8,7,3,1,68
110006 COLORADO DO OESTE,9,5,2,6,5,9,8,7,7,5,63
110007 CORUMBIARA,5,5,1,5,1,2,3,6,2,1,31
110008 COSTA MARQUES,25,14,17,18,8,17,13,18,21,11,162
110009 ESPIGAO D'OESTE,17,13,8,4,7,11,12,8,7,10,97
110010 GUAJARANAMIRIM,152,98,171,344,498,434,274,105,164,226,2466
110011 JARU,72,93,90,90,35,47,53,68,23,41,612
110012 JINAPARANA,111,142,215,242,182,187,143,92,77,34,1425
110013 MACHADINHO D'OESTE,59,95,155,196,60,13,28,21,26,19,672
110014 NOVA BRASILANDIA D'OESTE,10,9,11,13,6,8,3,5,10,3,78
110015 OURO PRETO DO OESTE,87,92,82,63,34,30,24,20,15,7,454
110018 PIMENTA BUENO,31,17,30,12,5,5,15,16,10,12,153
110020 PORTO VELHO,5141,3303,2753,2958,2632,2783,2672,2626,2385,2538,29791
110025 PRESIDENTE MEDICI,12,15,13,15,12,15,13,7,10,19,131
110026 RIO CRESPO,8,17,27,47,7,1,2,2,NA,5,116
110028 ROLIM DE MOURA,62,42,31,40,51,66,38,39,43,34,446
110029 SANTA LUZIA D'OESTE,4,8,4,3,2,5,3,1,2,4,36
110030 VILHENA,53,36,22,35,36,40,45,28,17,21,333
110032 SAO MIGUEL DO GUAPORE,14,23,8,16,8,11,9,16,20,9,134
110033 NOVA MAMORE,43,55,66,175,210,183,97,49,79,102,1059
110034 ALVORADA D'OESTE,8,12,16,17,13,14,10,10,9,19,128
110037 ALTO ALEGRE DOS PARECIS,6,7,6,7,7,10,7,11,4,11,76
110040 ALTO PARAISO,28,84,178,208,53,14,8,3,8,24,608
110045 BURITIS,44,48,47,47,25,9,10,9,8,18,265
110050 NOVO HORIZONTE DO OESTE,5,5,2,2,5,9,10,5,3,3,49
110060 CACAULANDIA,5,29,55,55,14,4,5,3,1,3,174
110070 CAMPO NOVO DE RONDONIA,21,16,33,44,19,4,2,1,1,4,145
110080 CANDEIAS DO JAMARI,135,123,113,139,100,117,118,137,101,116,1199
110090 CASTANHEIRAS,2,3,3,2,4,2,2,2,1,NA,21
110092 CHUPINGUAIA,10,10,3,6,9,11,11,9,8,4,81
110094 CUJUBIM,48,103,138,143,48,12,23,20,19,12,566
110100 GOVERNADOR JORGE TEIXEIRA,10,8,8,13,2,5,7,8,4,7,72
110110 ITAPUA DO OESTE,34,46,50,40,22,29,31,25,22,25,324
110120 MINISTRO ANDREAZZA,1,1,3,4,1,3,NA,2,1,1,17
110130 MIRANTE DA SERRA,6,16,16,16,6,10,8,9,6,4,97
110140 MONTE NEGRO,19,49,85,106,35,13,10,4,10,4,335
110143 NOVA UNIAO,10,10,22,13,5,9,4,9,4,2,88
110145 PARECIS,1,1,NA,NA,2,4,4,3,1,1,17
110146 PIMENTEIRAS DO OESTE,3,5,2,NA,3,1,1,1,NA,NA,16
110147 PRIMAVERA DE RONDONIA,NA,2,2,NA,NA,NA,3,NA,2,NA,9
110148 SAO FELIPE D'OESTE,NA,3,4,2,NA,1,NA,2,1,NA,13
110149 SAO FRANCISCO DO GUAPORE,8,21,15,24,12,5,6,5,14,13,123
110150 SERINGUEIRAS,10,14,8,8,5,6,6,6,5,7,75
110155 TEIXEIROPOLIS,5,12,8,6,2,5,3,2,NA,1,44
110160 THEOBROMA,10,7,16,15,6,5,9,3,6,5,82
110170 URUPA,18,16,25,24,9,12,7,12,10,10,143
110175 VALE DO ANARI,8,15,15,12,2,7,6,6,8,6,85
