Municipio,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,code_muni_curto
110001 ALTA FLORESTA D'OESTE,70.7,74.8,75.8,78.4,79.2,81.1,79.4,78.8,82.6,85.4,110001
110002 ARIQUEMES,66.5,67.5,60.8,78.3,79.2,84.1,77.8,78.3,74.8,78.9,110002
110003 CABIXI,75,77.8,75,77.8,81.8,84.8,74.2,80.3,89.1,86.5,110003
110004 CACOAL,72.6,76.6,79.4,81.8,78.7,80.1,81.8,83,84.8,84.2,110004
110005 CEREJEIRAS,67.2,78.7,71.6,77.6,80.5,78,78.9,85.2,82.5,86.4,110005
110006 COLORADO DO OESTE,81.8,80.5,81.4,83.5,76.1,79,81.5,79.9,80.3,77.6,110006
110007 CORUMBIARA,70,82.1,65.9,84.1,76.6,84.8,76.9,76.8,72.3,84.4,110007
110008 COSTA MARQUES,70.2,69.3,63.3,70.7,64.3,67.6,65,73.4,76.1,80.8,110008
110009 ESPIGAO D'OESTE,69.7,70.3,65.5,77.3,72.1,73.1,75.4,72.3,59.8,74.8,110009
110010 GUAJARANAMIRIM,57.8,56.2,47,48.4,50.5,57.3,40.6,46.8,42.1,46.4,110010
110011 JARU,78.7,78.6,82.8,86.1,90,83.1,83.9,82,81.4,82.7,110011
110012 JINAPARANA,64.2,69.8,74.7,75.5,76,79.1,77.8,79.2,81.7,81.9,110012
110013 MACHADINHO D'OESTE,63.4,69.4,67.5,75.9,80.1,77,78,78.3,77.1,81.1,110013
110014 NOVA BRASILANDIA D'OESTE,76.2,74.5,74.7,79.1,80.3,86.6,77.1,82.9,83.2,81.8,110014
110015 OURO PRETO DO OESTE,76.1,77.6,71.4,79.2,75.7,80.2,79.2,80.5,79.5,81.2,110015
110018 PIMENTA BUENO,72.8,74.4,75.5,77.1,75.1,77.4,79.4,78.6,75.6,85.2,110018
110020 PORTO VELHO,58.5,56.5,57,60.7,57,58.1,58.9,64,65.1,67.6,110020
110025 PRESIDENTE MEDICI,74.4,76.1,76,78.8,75.5,79.2,80.9,85.8,75.4,82,110025
110026 RIO CRESPO,64.3,68.4,75,100,79.5,83.7,76.1,84.8,82.9,96.4,110026
110028 ROLIM DE MOURA,69.4,76,76.3,80.2,80,81.3,80.2,83.3,82.8,85.2,110028
110029 SANTA LUZIA D'OESTE,75.8,74.3,85.5,85.3,87.1,86.2,84.4,88.3,90.1,82.4,110029
110030 VILHENA,68,76.4,72,75.2,75.5,73.7,73,74.7,75.9,77.6,110030
110032 SAO MIGUEL DO GUAPORE,80,71.9,77.8,84.3,81.2,83.3,69.8,79.6,77.7,84.2,110032
110033 NOVA MAMORE,60.7,67,68.1,69.6,73.2,73.9,68.4,66.9,67.8,70.6,110033
110034 ALVORADA D'OESTE,69.3,64.4,74.7,75.8,83.9,79.1,69.5,78.9,85.6,82.8,110034
110037 ALTO ALEGRE DOS PARECIS,75.3,83.8,83.3,84.2,82.4,85.4,77.7,83.3,80.8,88.7,110037
110040 ALTO PARAISO,73,73,71.4,85.3,81.3,86.8,80.5,79.2,82.1,88,110040
110045 BURITIS,75.3,77.9,75.9,73.8,78.9,82.6,80.5,74.7,81.3,81.2,110045
110050 NOVO HORIZONTE DO OESTE,83,82.7,80.6,82,84,86.5,82.4,83.5,86.9,88.1,110050
110060 CACAULANDIA,71.7,79.1,66.7,81.2,81.8,85.9,73.8,78.9,77.8,94.3,110060
110070 CAMPO NOVO DE RONDONIA,80,70,80.6,76.2,78.4,84,86.5,84.1,86,87.3,110070
110080 CANDEIAS DO JAMARI,62.1,59.5,62.2,56.2,60.7,62.7,61.9,67.1,70.4,67.7,110080
110090 CASTANHEIRAS,77.3,73.5,75,81.1,86.5,83.3,88.6,80,75,89.4,110090
110092 CHUPINGUAIA,66.2,70.8,72.7,76.7,71.5,66.2,72.2,70.6,72.7,78.7,110092
110094 CUJUBIM,60.4,64.3,71.8,72.7,77.3,84.5,77.1,78.5,78.3,85.2,110094
110100 GOVERNADOR JORGE TEIXEIRA,84.2,82.3,89.4,91.7,89.3,80.4,89.9,80.4,86.6,93.2,110100
110110 ITAPUA DO OESTE,63.5,54.5,72.2,70.9,77.1,82.5,84.1,73.7,68.2,84.5,110110
110120 MINISTRO ANDREAZZA,83,80.4,86.7,80.2,74.7,81.5,85.1,87.3,88.9,89.6,110120
110130 MIRANTE DA SERRA,73.3,79.8,79.5,84.3,79.2,87.7,77.5,82.6,85.5,83.8,110130
110140 MONTE NEGRO,75.7,66.5,75,68.1,79.5,78.5,80.3,84.8,84,86.4,110140
110143 NOVA UNIAO,91,65.1,66.2,76.5,87.8,88.4,86.7,86.8,90.9,85.7,110143
110145 PARECIS,79.2,92.5,86,86.3,84.3,75,70.9,83.8,72.7,91.9,110145
110146 PIMENTEIRAS DO OESTE,70.6,57.4,65.6,61.5,63.3,53.8,76.3,58.5,57.1,64.6,110146
110147 PRIMAVERA DE RONDONIA,63.8,73.7,81.5,82.5,81.6,86,80,80,84.2,80.5,110147
110148 SAO FELIPE D'OESTE,71.2,85.7,78,87.7,85.2,83,83.1,86,74.6,75.4,110148
110149 SAO FRANCISCO DO GUAPORE,77.3,74.5,76.6,73.8,77.8,73.8,82.3,82.4,81.2,80.4,110149
110150 SERINGUEIRAS,80,80.5,81,81.7,79.9,81.5,87.8,85.1,91.8,92.7,110150
110155 TEIXEIROPOLIS,85.9,72.9,66.7,84.6,82.8,91.5,82.1,83.3,83,91.5,110155
110160 THEOBROMA,78.3,84,91.3,87.8,90.4,76.1,87.7,85,78.8,79.4,110160
110170 URUPA,80.8,70.5,73,67.5,81.5,81.6,81.6,71.8,83.4,89.9,110170
110175 VALE DO ANARI,74.2,78,81.1,89.2,91,76.7,80.3,88.4,78.1,83.9,110175
110180 VALE DO PARAISO,76.1,75.5,69,62.9,82.4,72.7,78,83.6,82.9,94.1,110180
120001 ACRELANDIA,60.6,57.4,61.6,49.3,68.1,59.9,71.9,79.7,75.3,65.2,120001
120005 ASSIS BRASIL,33.3,34.4,43.1,49,56.6,55,50.7,45.3,41.4,34.8,120005
120010 BRASILEIA,45.2,61.2,56.3,58.4,65.7,60,53.9,57.5,61.8,58.5,120010
120013 BUJARI,52.5,50.6,53.2,40.8,55.4,59.3,61.3,63.1,64.3,50,120013
120017 CAPIXABA,44.9,43.4,48.6,41.9,48.8,48.8,49.4,60.6,61.4,55.6,120017
120020 CRUZEIRO DO SUL,47.2,40.4,55.6,57.7,56.7,65,62.9,66.6,71.8,73.8,120020
120025 EPITACIOLANDIA,44.5,54.5,51.2,53.9,60,58.3,55,56.4,59.2,60.3,120025
120030 FEIJO,21.2,22.8,21.9,15.7,20.7,27.9,30.8,27.7,27.5,33.2,120030
120032 JORDAO,18.6,34.1,27.5,27.3,24.8,23.2,33.2,27,29.1,36.7,120032
120033 MANCIO LIMA,39.5,35.1,44.2,50.1,54.2,59.2,63.7,67.3,69.2,73.5,120033
120034 MANOEL URBANO,40,41.9,47.4,49,50.5,45.8,47.5,41.3,48.5,49.6,120034
120035 MARECHAL THAUMATURGO,32.3,32.2,38.2,50.6,45.5,55.3,49.8,43.3,51.9,55,120035
120038 PLACIDO DE CASTRO,55,53.5,55.4,50,66.7,55.7,59.9,66.7,65.8,59.9,120038
120039 PORTO WALTER,47.6,37.7,49.2,45,38.9,47.4,41.5,38.7,45.1,56.7,120039
120040 RIO BRANCO,52.9,54.1,56,52.8,63.1,59,60.6,67.6,63.5,57.8,120040
120042 RODRIGUES ALVES,34.6,37.2,50.5,52.2,51,59.2,54.7,60.9,63.7,67.8,120042
120043 SANTA ROSA DO PURUS,10.6,20.5,45.2,10,18,38,34.5,33.3,26.6,38.9,120043
120045 SENADOR GUIOMARD,43.9,42.8,50.5,49.3,51.3,53,61,58.8,61.5,54.8,120045
120050 SENA MADUREIRA,45.7,47.5,46.5,52.4,58.4,62.1,56.1,63,56.1,57.3,120050
120060 TARAUACA,22.3,22.4,22.3,27,24.4,23,20.6,28.3,29.4,32.4,120060
120070 XAPURI,53.8,58.9,58,51.6,66.7,65.6,75.9,72.7,73.3,66.1,120070
120080 PORTO ACRE,52,52.8,49.6,42.6,50.9,48,52,59.6,57.6,57,120080
130002 ALVARAES,42.6,37.5,41.6,39.4,39.1,40,32.3,42.6,49.4,56.2,130002
130006 AMATURA,60.8,72.6,67.8,61.8,65.3,73.9,71.9,59.1,66.5,70.8,130006
130008 ANAMA,40.2,46.4,60.3,57.4,54.9,58.8,50.4,57.1,74.9,74,130008
130010 ANORI,52.9,51.9,44.6,54.2,60,57.8,63.2,67.3,65.2,64.4,130010
130014 APUI,62.4,69.3,70.4,67.7,71.7,70.3,73.9,80.2,77,77.1,130014
130020 ATALAIA DO NORTE,37.1,45,39.6,38.3,39.7,43.6,48.7,61.5,51.1,61.4,130020
130030 AUTAZES,35.8,38.2,38.2,43.2,42,44.9,40,46.7,54.8,56.1,130030
130040 BARCELOS,28.5,24.1,25.5,31.9,31,26.9,34.7,37.3,41.3,33.3,130040
130050 BARREIRINHA,35.9,39.8,36.6,40.3,41,46.6,45.4,55.7,57.4,60.1,130050
130060 BENJAMIN CONSTANT,43.1,47.4,53,47,52.2,52.2,51.1,54.9,62.8,63.3,130060
130063 BERURI,33,34.5,26.8,32.2,39,29.1,25.5,35.9,41,54.6,130063
130068 BOA VISTA DO RAMOS,58.5,53.6,51.5,48,47.6,58.2,69.4,68.9,72,79.9,130068
130070 BOCA DO ACRE,32.7,36.5,52.6,45.8,43.7,51.6,50.4,42,46.1,49.6,130070
130080 BORBA,54.4,56.5,57.2,59.2,48.5,46.7,48,49.8,54.9,61.4,130080
130083 CAAPIRANGA,39.1,50.6,44,48.6,43.4,39.6,37.2,39,58.8,60.1,130083
130090 CANUTAMA,59,57.5,57.8,60.1,63.9,65.4,56.9,66.1,75,79.5,130090
130100 CARAUARI,49.4,49,47,48.8,48.2,50.8,57.8,57.9,59.9,54.8,130100
130110 CAREIRO,41.8,45.8,45,49.9,47.6,46.9,51.8,51.5,57.3,66.4,130110
130115 CAREIRO DA VARZEA,51.9,45.9,52.9,40.4,46,50.5,44.1,55.9,59.7,61.5,130115
130120 COARI,41.6,43,45.9,38.1,46.6,54.8,52,54.9,57.3,59.1,130120
130130 CODAJAS,36.6,44.1,46.9,51,54.5,53.2,56.6,52.5,57.9,59.3,130130
130140 EIRUNEPE,44.8,44.2,46,44.6,56.3,59.3,49.8,55,53.7,59.9,130140
130150 ENVIRA,39.5,51.1,55,58.3,60.8,56.8,58,54.8,53.1,56.7,130150
130160 FONTE BOA,37.1,36.6,34.7,37.7,39.4,56,47,46.1,52,50.5,130160
130165 GUAJARA,33.6,35.1,40.7,48.7,41.7,55.5,58.7,55.8,54.5,65.8,130165
130170 HUMAITA,54,54.9,56.6,62.6,60.2,64.6,71.5,67.1,70.6,73.8,130170
130180 IPIXUNA,26.3,24.2,28.7,22.8,28.6,34.9,39.5,48.7,57.4,54.7,130180
130185 IRANDUBA,43.8,49.1,46.8,51.5,51,48.4,47.3,54.3,59.3,64.3,130185
130190 ITACOATIARA,43,46.7,51.1,50.1,49.9,53.9,51.7,53.2,53.5,62.8,130190
130195 ITAMARATI,56.8,71.8,64.5,70.6,77.8,85.8,88.6,80.3,83.1,87,130195
130200 ITAPIRANGA,51,42.6,46.5,43.3,60.2,63,67.6,63,67,73.8,130200
130210 JAPURA,53.1,51,47.5,48.4,36.7,48.3,49.2,40.2,50,57.4,130210
130220 JURUA,50.8,46.3,43.5,53.1,46,55.5,48.9,59.2,60.1,59.8,130220
130230 JUTAI,26.7,27.4,27,30.6,30.9,34,37.6,40.9,44.7,48.9,130230
130240 LABREA,44.6,54.9,48.1,29,45.3,41,44.2,52.6,65.4,61.5,130240
130250 MANACAPURU,40.8,40.3,42.1,37.3,39.2,38.7,32.5,39.9,50.8,56.8,130250
130255 MANAQUIRI,58.1,62.5,55.1,51.9,61.5,58.6,51.8,65.5,66.1,69.8,130255
130260 MANAUS,51.5,54.4,54.4,54.2,51.7,51.8,48.7,56.4,59.9,61.3,130260
130270 MANICORE,34.6,37.5,48.2,50.4,42,45.2,46.5,47.3,57,68.5,130270
130280 MARAA,48.4,46.7,42.9,41.6,49.4,45,47.5,49,48.2,51.1,130280
130290 MAUES,35.7,34.1,32.8,33.8,30.5,34.6,38.1,41.4,54.9,58.3,130290
130300 NHAMUNDA,41.8,37.9,36.3,36.4,47.5,51,46.6,46.7,66.8,61.3,130300
130310 NOVA OLINDA DO NORTE,38.6,33.8,34.6,33.4,36.1,37.3,30.4,41.2,42.5,52.5,130310
130320 NOVO AIRAO,37.4,35.6,45.9,48.3,40.1,44.1,43.8,40.4,41.9,53.4,130320
130330 NOVO ARIPUANA,43,54.7,43.3,43.4,74.4,81.2,82.9,86.6,93.3,87.6,130330
130340 PARINTINS,42,37.7,36.3,45.7,48.3,53.6,46.9,60.3,61.2,62.5,130340
130350 PAUINI,57.6,67.1,61.6,59.8,55.1,46.1,50,36.1,41.6,46.3,130350
130353 PRESIDENTE FIGUEIREDO,60.4,70.6,62.3,67.3,58.7,53.4,49.4,54.5,59.2,62,130353
130356 RIO PRETO DA EVA,52.4,54.5,59,54.6,65.7,61.4,54,63.5,63.3,67,130356
130360 SANTA ISABEL DO RIO NEGRO,30.1,28.6,25,27.4,28.8,26.6,29.7,30.6,32,27.4,130360
130370 SANTO ANTONIO DO ICA,61.7,67.1,63.5,63.5,61.3,66.9,66,65.9,68.9,71,130370
130380 SAO GABRIEL DA CACHOEIRA,20.7,22.1,21.8,16.8,24.4,31.7,31,40,43.1,37.1,130380
130390 SAO PAULO DE OLIVENCA,58.2,45.6,47.7,44.7,48.5,47.7,46.8,45.4,56.9,60.5,130390
130395 SAO SEBASTIAO DO UATUMA,58.2,54.4,44.6,27.6,29.2,37.4,50,57.4,55,60.6,130395
130400 SILVES,46,45.8,53,50.6,44.2,53.7,53.1,58,54.5,67.7,130400
130406 TABATINGA,33.1,34.6,37.5,44.2,45.2,45.8,47.1,50.6,52.5,54.5,130406
130410 TAPAUA,47.4,48.3,47.6,51.3,58.4,60,52.4,59.8,65.4,65.5,130410
130420 TEFE,38.2,35.7,40.2,40.3,42.2,46.5,50.1,49,57.1,57.9,130420
130423 TONANTINS,51.5,49.2,52.1,58,56.8,64.9,47.7,53.7,54.9,66,130423
130426 UARINI,45.5,53.4,50.8,41.3,39.4,40.1,47.6,53.9,51.5,63.4,130426
130430 URUCARA,49.6,46.6,45.2,54.3,52.9,52.4,48.3,56.6,60.1,66.4,130430
130440 URUCURITUBA,43.5,45.2,38.2,48.1,51.1,55.6,51.9,54.6,60,68.1,130440
140002 AMAJARI,26.6,24.2,27,27.9,28.9,29,27.4,31.7,26.7,34,140002
140005 ALTO ALEGRE,24.9,22.9,24.1,26.8,20.8,24.7,35.6,32.4,32.4,27.5,140005
140010 BOA VISTA,53.8,56.1,60.1,60.5,54.4,52.3,55.4,57,56.1,61.7,140010
140015 BONFIM,24.2,31.6,30.4,27.3,28.9,26.1,30.5,46,38.6,40.1,140015
140017 CANTA,27.1,31,29.4,37.6,36.5,31.4,36.6,38.9,42,57,140017
140020 CARACARAI,37.3,44.6,43.5,45.6,42.2,43.8,43.1,53.6,53.6,50.8,140020
140023 CAROEBE,66.4,69.2,64.3,63.6,65.7,66.7,59.5,67.7,66.9,71.7,140023
140028 IRACEMA,52,50.4,51.6,47.4,44.4,50.3,44.7,60.3,60.8,51.7,140028
140030 MUCAJAI,56.6,54.9,56.3,54.4,47.1,46,45.7,52.7,60.5,66.7,140030
140040 NORMANDIA,30.6,31,26.5,25.4,33,29.6,20.4,29,22,28.9,140040
140045 PACARAIMA,36,37.1,34.9,37.2,29.4,25.8,26,34.8,30.9,31.6,140045
140047 RORAINOPOLIS,61.5,56.6,54.6,51.9,59.2,61.8,55.5,61.1,64.5,71.8,140047
140050 SAO JOAO DA BALIZA,66.7,63.2,62.4,66.4,62.7,61.4,57.1,62.2,57.7,65.9,140050
140060 SAO LUIZ,62.9,55.7,63,49,63.3,60,62.5,68.9,68.9,75.3,140060
140070 UIRAMUTA,22.8,24.3,25.1,24.3,26.8,28.9,18.9,32.7,22.4,21.6,140070
150010 ABAETETUBA,56.2,58.7,59.8,61.1,61,61.2,54.9,65.4,67.7,66.4,150010
150013 ABEL FIGUEIREDO,49.5,54.3,49.6,55.6,67.2,71,60.8,61.5,64.6,80.9,150013
150020 ACARA,36.6,47,44,42.1,42,43,35.6,44.6,41.8,45,150020
150030 AFUA,24.5,21.1,21.5,26.7,24.6,27.7,28.7,35.2,34.2,36.3,150030
150034 AGUA AZUL DO NORTE,50,60.7,58.7,47,70.3,76.7,71.2,83.7,86.4,87.9,150034
150040 ALENQUER,36.3,35.4,39.3,38.1,34.8,34.6,31.3,36.4,46.7,51.5,150040
150050 ALMEIRIM,41.5,41.6,34.9,40.7,48.8,49.4,47.5,50.2,58.7,64,150050
150060 ALTAMIRA,45.6,46.6,48.1,58.1,66.5,65.2,59.8,60.7,64.6,62.3,150060
150070 ANAJAS,34.1,35,30.8,37.6,27.2,29.7,24.1,22.7,24,27.8,150070
150080 ANANINDEUA,53.7,53.5,56.5,57.9,57.2,57.2,54.3,57.2,54.8,59.1,150080
150085 ANAPU,31.2,31.7,37,45.1,52,55.1,57.7,59.3,65.7,63.1,150085
150090 AUGUSTO CORREA,32.1,41.8,44.4,47.4,54.5,53.1,55.6,58.7,68.5,72,150090
150095 AURORA DO PARA,50.3,48.3,42,55.7,55.6,53.2,62.9,61.8,60.5,67.4,150095
150100 AVEIRO,37.6,38,24.9,17.4,24.7,34,31.9,47.4,53.6,56.5,150100
150110 BAGRE,31,29.5,31.2,33.9,39.5,38.9,38,42,43.3,46.4,150110
150120 BAIAO,51.8,56.9,57.3,55.2,52.3,55.9,47.9,54.2,57.5,71.2,150120
150125 BANNACH,48.8,48.6,62.1,52.6,69.6,73.3,63.2,81.1,89.6,85.1,150125
150130 BARCARENA,62.5,61.2,56.6,58.3,58.1,63.3,57.5,67.2,70.3,73.8,150130
150140 BELEM,63.7,64.9,63.4,64.6,63.2,65.8,58.1,59.8,59.5,59.3,150140
150145 BELTERRA,45.5,41.2,35.8,49,57.1,65.8,60.6,59.6,54.8,59.8,150145
150150 BENEVIDES,52.4,55.6,59.1,56.8,54.7,54.7,51.1,58.2,55.2,64.6,150150
150157 BOM JESUS DO TOCANTINS,62.1,61,58.6,58.2,68.9,55,59.3,64.4,75.9,74.3,150157
150160 BONITO,55.4,54.3,60.7,54.4,50.9,66,55.3,74.4,75.8,73.1,150160
150170 BRAGANCA,38.6,41.3,50.6,52.3,56.6,61.6,56.9,61.1,64.4,69.5,150170
150172 BRASIL NOVO,55.2,46.3,53.9,51.6,60.6,60.9,60.5,59.1,69,69.4,150172
150175 BREJO GRANDE DO ARAGUAIA,50,56.4,57.3,57,48.3,71.9,58.2,67.6,78.3,77.5,150175
150178 BREU BRANCO,48.4,45.6,50.3,44.6,45.4,52.7,50.5,44.8,62.1,64.4,150178
150180 BREVES,30.8,27.6,28.8,25.2,24.1,24.2,22.6,26.3,29.5,31.6,150180
150190 BUJARU,36.5,29.7,36.6,35.3,33.4,43.5,40.3,48,47.8,46,150190
150195 CACHOEIRA DO PIRIA,36.3,34.8,37.1,20.6,26.8,38.7,34,54.1,56.8,54.6,150195
150200 CACHOEIRA DO ARARI,50.2,37.5,32.5,30.2,28.9,38.5,20.1,35.7,39.3,36.2,150200
150210 CAMETA,32.1,37.3,35.3,35.8,45.3,49.9,42.2,47.3,57.7,62.9,150210
150215 CANAA DOS CARAJAS,55.4,56.7,60.9,61.4,62,71.6,73.8,77.7,80.6,81.4,150215
150220 CAPANEMA,57.7,58.7,62,53.1,51.1,65.6,64.2,72.2,73.3,71.5,150220
150230 CAPITAO POCO,55,62.3,63,67,79.7,89.2,80.7,87.6,84.4,83.9,150230
150240 CASTANHAL,61.4,62.4,64,64.6,66.9,69.5,65.7,73.7,72.7,77.6,150240
150250 CHAVES,18.4,21.1,13.4,16.5,12.1,18.4,11.5,17.9,22.7,21.8,150250
150260 COLARES,46.4,54.4,55.1,54.9,52.4,45.5,35.8,44.8,46.4,47.6,150260
150270 CONCEICAO DO ARAGUAIA,47,46.8,54.5,53.1,51.2,54.7,49.2,63.7,67.4,80,150270
150275 CONCORDIA DO PARA,41.7,43.8,52.8,39.7,46.8,50.1,42.9,53.8,58,62.1,150275
150276 CUMARU DO NORTE,37.2,35.3,33.3,47.3,44.2,50,50.7,53.6,66.7,76.1,150276
150277 CURIONOPOLIS,56.7,76.6,70.1,60.1,67.1,62.1,58.4,67.1,70.9,72.9,150277
150280 CURRALINHO,48.5,43.8,44.5,34.5,38.4,39.6,28.5,39,34.8,43,150280
150285 CURUA,47.1,45.3,44.1,44.1,46.5,53.4,48.1,45,52.8,63.8,150285
150290 CURUCA,52.6,59.4,50.2,54.8,56.1,54.4,55.7,58.3,59.2,58.5,150290
150293 DOM ELISEU,54.6,57.6,56,47.6,65.5,68.2,61.3,70.4,73,75.3,150293
150295 ELDORADO DOS CARAJAS,32,43.6,43.8,48.4,47,48.3,51.1,57,63.1,62.4,150295
150300 FARO,40.1,48.8,41.2,38.9,35,52.9,46.6,54.3,57.8,58.7,150300
150304 FLORESTA DO ARAGUAIA,59.6,56.9,51.6,58.2,47.9,53.6,56.8,62,82.9,88.3,150304
150307 GARRAFAO DO NORTE,54,67.7,62.6,62.3,66.1,80.8,71.3,73.8,73.6,74.9,150307
150309 GOIANESIA DO PARA,47.1,46.2,55.6,40,54.6,58.7,59.3,60.8,64.8,66.9,150309
150310 GURUPA,31.2,33.5,33.1,26.4,23.9,28.7,29.5,40.5,37,41.5,150310
150320 IGARAPENAACU,60.5,66.3,66.5,67.9,64.4,71.5,65.9,73.4,70.3,76.7,150320
150330 IGARAPENAMIRI,52.7,50.3,53.3,42.7,52.1,44.8,46.6,56.4,56.4,63,150330
150340 INHANGAPI,60.1,57.6,54.1,48.8,60,69.6,60.3,69.7,70.1,63.3,150340
150345 IPIXUNA DO PARA,39.2,40.4,38.2,38.4,48.8,50.9,50.3,57.9,56.4,58.9,150345
150350 IRITUIA,54.9,56.7,53.8,54,59.7,60.8,60.6,63.5,65.8,66.2,150350
150360 ITAITUBA,49.8,45.9,45,48.1,49.6,52.1,51.2,58.4,55.9,60.6,150360
150370 ITUPIRANGA,30.8,30.2,32.5,34,30.9,40.7,41.1,55.8,57.7,60.5,150370
150375 JACAREACANGA,35.7,39.5,41.1,33,32.2,25.8,21.2,28.6,33.6,40.8,150375
150380 JACUNDA,59.6,64.6,67.3,64.2,69.5,68.2,71.1,76.2,75.8,78.4,150380
150390 JURUTI,41.4,41.9,49,47.5,51.3,51.4,47.3,51.3,52.5,51.4,150390
150400 LIMOEIRO DO AJURU,51.9,54.8,51.5,52.9,48.2,58.9,52.8,48.7,57.1,58.1,150400
150405 MAE DO RIO,57.4,56.8,61.9,60.5,67.9,64.1,58,66.8,74.3,74,150405
150410 MAGALHAES BARATA,48.7,52.3,51.1,56.8,58.6,66.7,57.3,62.6,67.4,62.9,150410
150420 MARABA,43,43.2,47.6,42.7,47.6,54,51.3,58,62.9,65.3,150420
150430 MARACANA,45.5,43,48.5,43.8,43.2,43.1,48.1,49.6,52.1,56.2,150430
150440 MARAPANIM,44.6,49,52.3,45,53.4,59.7,53.7,63.5,58.2,62,150440
150442 MARITUBA,53.5,58.7,54.9,58.5,55.8,51.9,49.7,55.4,56.4,57.5,150442
150445 MEDICILANDIA,55.6,52.6,60.6,55.4,59,59.8,66.5,62.7,66.7,66.8,150445
150450 MELGACO,21.9,22.2,23.3,25.7,26.7,22.5,18.1,23.5,21.1,26.3,150450
150460 MOCAJUBA,38.7,37,31.2,33.5,31.9,31.1,32.6,39.9,48.2,51,150460
150470 MOJU,39.3,39.8,40.4,45.2,43.6,39.2,34.9,40.7,41.8,47.2,150470
150475 MOJUI DOS CAMPOS,49.1,54.6,49.1,49.8,56.8,62.6,63.3,70,72.2,69.9,150475
150480 MONTE ALEGRE,25.9,30.3,36.5,37.3,39.6,47.3,38.6,44.9,52,55.8,150480
150490 MUANA,40.1,42,45.3,44.4,49.5,52.9,45.1,51.6,53.8,55.4,150490
150495 NOVA ESPERANCA DO PIRIA,54.7,57.7,54.7,66.1,65.4,80.8,82.6,72,67.7,68.1,150495
150497 NOVA IPIXUNA,53.6,52.3,50.5,56.2,57.5,67.2,67.1,66,74.1,66.9,150497
150500 NOVA TIMBOTEUA,55.8,63.9,57.9,54.7,59.3,67.5,69.5,74.6,76.8,65.7,150500
150503 NOVO PROGRESSO,55.9,53.8,57,60.7,56.4,65.5,57,62.9,59.4,61,150503
150506 NOVO REPARTIMENTO,57.9,63.5,61.7,57,61.1,61,60,67.1,73.2,74.7,150506
150510 OBIDOS,37.6,39.1,39.5,42.7,42.9,42.8,35.5,40.6,42,48.5,150510
150520 OEIRAS DO PARA,27.7,34.7,36.6,36.8,35.1,38.4,24.9,30.2,45.8,51.6,150520
150530 ORIXIMINA,35.9,41.5,40.4,41.6,40.8,47,50,52.6,54,55.2,150530
150540 OUREM,52.2,62.6,68.4,73.6,75.2,72.3,68.8,74.9,75.4,80.8,150540
150543 OURILANDIA DO NORTE,72.2,72.1,71.4,73.8,76.8,72.7,72.4,76.7,78.2,73.4,150543
150548 PACAJA,52.3,50.2,51.1,56.4,59.6,56.7,62.3,68.2,73.9,72.4,150548
150549 PALESTINA DO PARA,52.3,55.2,50.6,55.9,57.1,68.9,64.6,68.9,80,67,150549
150550 PARAGOMINAS,50.9,55.6,51.9,57.1,58.3,60.8,62.6,69.8,72.7,73.9,150550
150553 PARAUAPEBAS,58.4,65.9,68.9,64.3,68.5,73.2,68.8,71,72.9,72.6,150553
150555 PAU D'ARCO,41,48.9,61.6,30.3,55,71.8,68.3,71.9,81.5,86.2,150555
150560 PEIXENABOI,52.3,55.3,50,55.3,57.8,62.5,48.6,71.6,80,79.4,150560
150563 PICARRA,50.8,64,65.2,51.5,63.4,56.9,64.2,69.1,71.4,76.6,150563
150565 PLACAS,55.1,48.7,56.1,57.7,55,61.3,60.3,59.3,66.5,76.6,150565
150570 PONTA DE PEDRAS,41.7,48,44.3,47.6,53.5,57.9,50.8,53.2,50.6,54.8,150570
150580 PORTEL,89.2,43.4,35.5,40.7,31.8,23,22.2,25.7,26,31,150580
150590 PORTO DE MOZ,26.2,27,31.1,33.3,37.6,36.2,27.4,38.1,43.3,47.8,150590
150600 PRAINHA,51.3,48.3,51.6,53.8,48.7,47.9,47.6,49,48.7,60.4,150600
150610 PRIMAVERA,42.9,65.6,68.5,53.6,51.8,66.9,61.9,79,67.8,75.1,150610
150611 QUATIPURU,41.7,56.7,35.7,42.9,54.3,53.2,56.6,63.8,61.5,63.4,150611
150613 REDENCAO,31.1,33.3,49.6,50.9,48.5,55.7,61.3,66.8,73.3,91.5,150613
150616 RIO MARIA,57.6,58.3,73.6,68.3,73.4,81,83,88.5,86.2,96.6,150616
150618 RONDON DO PARA,59.4,65.6,63.3,59.8,63.5,72.4,66.9,73,70.2,75,150618
150619 RUROPOLIS,61.6,67,60.6,58.8,67.8,70.1,58.6,70,74.9,81.4,150619
150620 SALINOPOLIS,33.5,53.2,54.2,62.3,59.9,66,68.1,68.8,65.8,72.3,150620
150630 SALVATERRA,37.7,44.5,44.8,45.7,47,46.8,30.7,34,47,49.3,150630
