code_muni_curto,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
110001,12.3,23.3,31.3,38.4,39.4,44.6,62.5,47.6,32.1,54.7,58.4,49.5,62.6,65,65.4,54.1,60.4,69.7,68.4,67.1,70.7,70.2,72.2,74.3
110002,17.3,23.7,23.6,31.1,36.8,38,39.6,42.9,50.3,53.5,57.6,57.2,61.4,58.8,59.5,70.6,79.8,84.2,74.8,74.1,76.1,80.8,80.6,82.5
110003,9.6,12.8,5.8,25,7.7,30.3,12.3,44,26,30.2,33.3,49.2,57.7,43.1,50,66.7,0,33.3,0,0,50,0,100,0
110004,27.1,23.6,26.2,25.7,26.7,33.1,45.5,50,50.8,57.2,54.9,67,68.1,68.8,70,73.8,75.7,80.2,79.8,76.3,79.4,80,83.1,83.3
110005,14.4,8.3,17.7,37.3,21.7,18.9,11.6,17.4,21.5,29.4,42.5,51.4,56.2,54.5,55.7,66,65.9,75,80,81.2,82.6,84.7,82.1,88.4
110006,67.9,48.6,42.9,27.2,31.6,26.8,19,49.2,53.1,43,55,70.6,59.4,74.4,60.4,62.5,40,80,100,50,77.8,20,66.7,100
110007,13.6,0,40,20,12.5,20,40,0,50,100,100,0,0,0,0,100,0,0,0,100,66.7,0,100,100
110008,13.4,24.7,26.2,30.8,29.1,35.8,42.8,55,55,54.8,59.3,53.5,64.1,65.3,59.8,53.8,35.7,64.4,71.4,55.6,35.7,53.7,71.9,54.8
110009,13,18.4,21.5,24.5,38.9,43.8,38.2,53.8,45.5,46.6,57.4,60.4,63.5,57.7,62.9,72.3,64.7,69.9,65.2,71,68.4,65,70.4,76.2
110010,18.8,19.7,26.2,16.7,18.4,2.2,20.4,24,0.3,0.1,0.1,0.1,13.8,40,38.2,41.3,41,40.3,37.6,41,32.9,46.5,44.3,53
110011,22.2,28.3,25.3,26.9,18.6,15.2,22.2,32.2,35.1,34.1,26,28.2,57.6,57.8,65.9,74.2,78.6,81.9,85.9,86.6,85.3,82.3,88.4,90.5
110012,58.2,39.1,32.7,30.5,29.1,32,28.5,37,36.4,30.3,42.1,51.2,53.9,56.5,58.4,66.3,71.4,73.3,77,79.9,79.3,77.7,82.8,83.3
110013,23.4,14.4,6.9,11,15.8,15.2,18.9,21.9,30.4,47.9,42.8,52.8,59.1,64.1,60.6,68.1,54.8,61.1,73.6,76.2,75.3,76.9,77.3,82.2
110014,34,30.8,22.7,15,11.8,27.8,32.4,42.5,48,23.7,27.6,57,53,58.6,64.5,64,64.8,65.2,72.4,85.6,89.3,90.7,89.9,87.3
110015,30,23.7,31.1,29,35.2,32.7,26,30.8,60.5,56.9,68,73.8,70.7,70.8,73,76,72.6,76.5,79.1,81.5,79.7,78.7,82.1,82.4
110018,39.5,34.7,47,58.8,61.6,56.8,51.7,64.7,72.3,59,62.4,64.1,73,75.8,67.2,73.5,74.7,77.1,76.7,78,76.8,79.1,80.8,83.4
110020,37.6,32,32.5,38,34.5,34.4,35.8,33.9,40.2,43.1,46.6,43,47.4,45.6,35.8,49.5,51.4,54.2,55,56.1,54.2,56.5,60,61.5
110025,1.8,7.6,13.8,12.7,18.1,27.5,24.2,21.1,30.7,47.8,56.4,27.3,63.4,52.5,44,30,66.7,73.4,72,80.2,79.6,84.9,79.8,74.8
110026,60,0,0,37.5,20,50,0,0,0,0,0,0,0,0,0,0,100,0,66.7,100,0,0,0,33.3
