name_state,DTNASC,metrica,valor
Acre,2014,Mínimo,10.6
Acre,2014,25 percentil,33.625
Acre,2014,Mediana,44.7
Acre,2014,75 percentil,50.9
Acre,2014,Máximo,60.6
Alagoas,2014,Mínimo,37.7
Alagoas,2014,25 percentil,58.2
Alagoas,2014,Mediana,62.4
Alagoas,2014,75 percentil,67.4
Alagoas,2014,Máximo,80.2
Amapá,2014,Mínimo,29.7
Amapá,2014,25 percentil,36.3
Amapá,2014,Mediana,38.5
Amapá,2014,75 percentil,41.7
Amapá,2014,Máximo,46.6
Amazonas,2014,Mínimo,20.7
Amazonas,2014,25 percentil,37.175
Amazonas,2014,Mediana,43.3
Amazonas,2014,75 percentil,52.275
Amazonas,2014,Máximo,62.4
Bahia,2014,Mínimo,37.4
Bahia,2014,25 percentil,52.3
Bahia,2014,Mediana,58.7
Bahia,2014,75 percentil,65.95
Bahia,2014,Máximo,86.7
Ceará,2014,Mínimo,56.9
Ceará,2014,25 percentil,69.15
Ceará,2014,Mediana,73.8
Ceará,2014,75 percentil,78.25
Ceará,2014,Máximo,93.3
Distrito Federal,2014,Mínimo,72.5
Distrito Federal,2014,25 percentil,72.5
Distrito Federal,2014,Mediana,72.5
Distrito Federal,2014,75 percentil,72.5
Distrito Federal,2014,Máximo,72.5
Espírito Santo,2014,Mínimo,55.3
Espírito Santo,2014,25 percentil,68.1
Espírito Santo,2014,Mediana,74.5
Espírito Santo,2014,75 percentil,79.075
Espírito Santo,2014,Máximo,95.2
Goiás,2014,Mínimo,48.4
Goiás,2014,25 percentil,67.95
Goiás,2014,Mediana,75.5
Goiás,2014,75 percentil,81.2
Goiás,2014,Máximo,89.1
Maranhão,2014,Mínimo,16.5
Maranhão,2014,25 percentil,37.9
Maranhão,2014,Mediana,46.2
Maranhão,2014,75 percentil,55.1
Maranhão,2014,Máximo,90
Mato Grosso,2014,Mínimo,36.8
Mato Grosso,2014,25 percentil,65.05
Mato Grosso,2014,Mediana,71.3
Mato Grosso,2014,75 percentil,77.9
Mato Grosso,2014,Máximo,91.2
Mato Grosso do Sul,2014,Mínimo,37.6
Mato Grosso do Sul,2014,25 percentil,55.1
Mato Grosso do Sul,2014,Mediana,66.1
Mato Grosso do Sul,2014,75 percentil,72.4
Mato Grosso do Sul,2014,Máximo,85.4
Minas Gerais,2014,Mínimo,47.6
Minas Gerais,2014,25 percentil,71.125
Minas Gerais,2014,Mediana,77.05
Minas Gerais,2014,75 percentil,81.9
Minas Gerais,2014,Máximo,95.2
Paraná,2014,Mínimo,43.7
Paraná,2014,25 percentil,74.6
Paraná,2014,Mediana,80.45
Paraná,2014,75 percentil,85.1
Paraná,2014,Máximo,94.4
Paraíba,2014,Mínimo,45.6
Paraíba,2014,25 percentil,66.925
Paraíba,2014,Mediana,72.55
Paraíba,2014,75 percentil,78.5
Paraíba,2014,Máximo,89.1
Pará,2014,Mínimo,18.4
Pará,2014,25 percentil,39.9
Pará,2014,Mediana,49.45
Pará,2014,75 percentil,55.45
Pará,2014,Máximo,89.2
Pernambuco,2014,Mínimo,45.3
Pernambuco,2014,25 percentil,62.85
Pernambuco,2014,Mediana,68.7
Pernambuco,2014,75 percentil,74.1
Pernambuco,2014,Máximo,88
Piauí,2014,Mínimo,37.4
Piauí,2014,25 percentil,52.95
Piauí,2014,Mediana,61.7
Piauí,2014,75 percentil,69.25
Piauí,2014,Máximo,84.8
Rio Grande do Norte,2014,Mínimo,47.6
Rio Grande do Norte,2014,25 percentil,62
Rio Grande do Norte,2014,Mediana,67.8
Rio Grande do Norte,2014,75 percentil,76.25
Rio Grande do Norte,2014,Máximo,89.3
Rio Grande do Sul,2014,Mínimo,47.7
Rio Grande do Sul,2014,25 percentil,68.425
Rio Grande do Sul,2014,Mediana,75.8
Rio Grande do Sul,2014,75 percentil,81.7
Rio Grande do Sul,2014,Máximo,93
Rio de Janeiro,2014,Mínimo,50.6
Rio de Janeiro,2014,25 percentil,65.75
Rio de Janeiro,2014,Mediana,71.9
Rio de Janeiro,2014,75 percentil,77.4
Rio de Janeiro,2014,Máximo,86.1
Rondônia,2014,Mínimo,57.8
Rondônia,2014,25 percentil,67.4
Rondônia,2014,Mediana,72.9
Rondônia,2014,75 percentil,77.025
