name_state,DTNASC,metrica,valor
Acre,2000,Mínimo,0
Acre,2000,25 percentil,5
Acre,2000,Mediana,7.2
Acre,2000,75 percentil,10.6
Acre,2000,Máximo,29.7
Alagoas,2000,Mínimo,1.1
Alagoas,2000,25 percentil,10.7
Alagoas,2000,Mediana,16.5
Alagoas,2000,75 percentil,31.8
Alagoas,2000,Máximo,67.2
Amapá,2000,Mínimo,2.5
Amapá,2000,25 percentil,8.2
Amapá,2000,Mediana,14.4
Amapá,2000,75 percentil,20.8
Amapá,2000,Máximo,24.6
Amazonas,2000,Mínimo,0
Amazonas,2000,25 percentil,2.65
Amazonas,2000,Mediana,7.3
Amazonas,2000,75 percentil,21.6
Amazonas,2000,Máximo,83.9
Bahia,2000,Mínimo,0
Bahia,2000,25 percentil,8
Bahia,2000,Mediana,18.6
Bahia,2000,75 percentil,29.1
Bahia,2000,Máximo,89.2
Ceará,2000,Mínimo,0
Ceará,2000,25 percentil,7.25
Ceará,2000,Mediana,16.1
Ceará,2000,75 percentil,28.375
Ceará,2000,Máximo,81
Distrito Federal,2000,Mínimo,39.8
Distrito Federal,2000,25 percentil,39.8
Distrito Federal,2000,Mediana,39.8
Distrito Federal,2000,75 percentil,39.8
Distrito Federal,2000,Máximo,39.8
Espírito Santo,2000,Mínimo,14.8
Espírito Santo,2000,25 percentil,36.15
Espírito Santo,2000,Mediana,46.3
Espírito Santo,2000,75 percentil,58.65
Espírito Santo,2000,Máximo,99.1
Goiás,2000,Mínimo,6.7
Goiás,2000,25 percentil,32.4
Goiás,2000,Mediana,46.5
Goiás,2000,75 percentil,64.1
Goiás,2000,Máximo,93
Maranhão,2000,Mínimo,0
Maranhão,2000,25 percentil,4.7
Maranhão,2000,Mediana,11.4
Maranhão,2000,75 percentil,21.15
Maranhão,2000,Máximo,96.6
Mato Grosso,2000,Mínimo,3.1
Mato Grosso,2000,25 percentil,25.4
Mato Grosso,2000,Mediana,36.7
Mato Grosso,2000,75 percentil,51
Mato Grosso,2000,Máximo,96.8
Mato Grosso do Sul,2000,Mínimo,0
Mato Grosso do Sul,2000,25 percentil,25
Mato Grosso do Sul,2000,Mediana,40.3
Mato Grosso do Sul,2000,75 percentil,55.45
Mato Grosso do Sul,2000,Máximo,92.6
Minas Gerais,2000,Mínimo,0.5
Minas Gerais,2000,25 percentil,21.05
Minas Gerais,2000,Mediana,37.9
Minas Gerais,2000,75 percentil,57.5
Minas Gerais,2000,Máximo,97.7
Paraná,2000,Mínimo,0
Paraná,2000,25 percentil,30.975
Paraná,2000,Mediana,54.3
Paraná,2000,75 percentil,73.825
Paraná,2000,Máximo,100
Paraíba,2000,Mínimo,4.2
Paraíba,2000,25 percentil,9.825
Paraíba,2000,Mediana,30.3
Paraíba,2000,75 percentil,46.65
Paraíba,2000,Máximo,90.9
Pará,2000,Mínimo,0
Pará,2000,25 percentil,4.725
Pará,2000,Mediana,11.15
Pará,2000,75 percentil,21.15
Pará,2000,Máximo,62
Pernambuco,2000,Mínimo,0
Pernambuco,2000,25 percentil,9.85
Pernambuco,2000,Mediana,18.4
Pernambuco,2000,75 percentil,34.975
Pernambuco,2000,Máximo,89.8
Piauí,2000,Mínimo,0
Piauí,2000,25 percentil,5.45
Piauí,2000,Mediana,10.5
Piauí,2000,75 percentil,22.5
Piauí,2000,Máximo,62.4
Rio Grande do Norte,2000,Mínimo,0
Rio Grande do Norte,2000,25 percentil,9.6
Rio Grande do Norte,2000,Mediana,17.6
Rio Grande do Norte,2000,75 percentil,37.8
Rio Grande do Norte,2000,Máximo,91.7
Rio Grande do Sul,2000,Mínimo,3.5
Rio Grande do Sul,2000,25 percentil,33.25
Rio Grande do Sul,2000,Mediana,48.1
Rio Grande do Sul,2000,75 percentil,64.9
Rio Grande do Sul,2000,Máximo,96.1
Rio de Janeiro,2000,Mínimo,0
Rio de Janeiro,2000,25 percentil,44.65
Rio de Janeiro,2000,Mediana,57.8
Rio de Janeiro,2000,75 percentil,72.6
Rio de Janeiro,2000,Máximo,98.1
Rondônia,2000,Mínimo,1.8
Rondônia,2000,25 percentil,14.5
Rondônia,2000,Mediana,22.8
Rondônia,2000,75 percentil,33.225
Rondônia,2000,Máximo,80.5
Roraima,2000,Mínimo,0
Roraima,2000,25 percentil,9.625
Roraima,2000,Mediana,14.6
Roraima,2000,75 percentil,18.45
Roraima,2000,Máximo,35.6
Santa Catarina,2000,Mínimo,0.9
Santa Catarina,2000,25 percentil,30
Santa Catarina,2000,Mediana,41
Santa Catarina,2000,75 percentil,55.8
Santa Catarina,2000,Máximo,93.5
Sergipe,2000,Mínimo,0
Sergipe,2000,25 percentil,6.5
Sergipe,2000,Mediana,20.9
Sergipe,2000,75 percentil,37.2
Sergipe,2000,Máximo,79.6
São Paulo,2000,Mínimo,0
São Paulo,2000,25 percentil,47.5
São Paulo,2000,Mediana,65.25
São Paulo,2000,75 percentil,77.875
São Paulo,2000,Máximo,100
Tocantins,2000,Mínimo,2.2
Tocantins,2000,25 percentil,10.6
Tocantins,2000,Mediana,18.6
Tocantins,2000,75 percentil,32.2
Tocantins,2000,Máximo,70.4
Acre,2001,Mínimo,0
Acre,2001,25 percentil,7.625
Acre,2001,Mediana,12.85
Acre,2001,75 percentil,20.75
Acre,2001,Máximo,33.8
Alagoas,2001,Mínimo,1.3
Alagoas,2001,25 percentil,8.9
Alagoas,2001,Mediana,18.7
Alagoas,2001,75 percentil,33.8
Alagoas,2001,Máximo,76.1
Amapá,2001,Mínimo,0.5
Amapá,2001,25 percentil,7.725
Amapá,2001,Mediana,11.4
Amapá,2001,75 percentil,19.825
Amapá,2001,Máximo,30.6
Amazonas,2001,Mínimo,0
Amazonas,2001,25 percentil,4.35
Amazonas,2001,Mediana,7.5
Amazonas,2001,75 percentil,16.9
Amazonas,2001,Máximo,69.3
Bahia,2001,Mínimo,0
Bahia,2001,25 percentil,9.625
Bahia,2001,Mediana,17.3
Bahia,2001,75 percentil,28.5
Bahia,2001,Máximo,95.2
Ceará,2001,Mínimo,0
Ceará,2001,25 percentil,10.85
Ceará,2001,Mediana,18.3
Ceará,2001,75 percentil,28
Ceará,2001,Máximo,75.9
Distrito Federal,2001,Mínimo,45
Distrito Federal,2001,25 percentil,45
Distrito Federal,2001,Mediana,45
Distrito Federal,2001,75 percentil,45
Distrito Federal,2001,Máximo,45
