DTNASC,p90,p10,razao,coef_var,ratio,coef_var_num,p90_num,p10_num
2014,84%,48%,"1,75","20,5",1.7510460251046,20.5,83.7,47.8
2015,85%,51%,"1,67","19,3",1.66863905325444,19.3,84.6,50.7
2016,85%,52%,"1,65","18,9",1.64730933023616,18.9,85.1,51.66
2017,86%,52%,"1,66","19,2",1.65830115830116,19.2,85.9,51.8
2018,86%,56%,"1,54","17,5",1.53764014949279,17.5,86.4,56.19
2019,87%,59%,"1,48","16,2",1.48464163822526,16.2,87,58.6
2020,86%,56%,"1,54","17,5",1.53641207815275,17.5,86.5,56.3
2021,88%,60%,"1,46","15,3",1.45514950166113,15.3,87.6,60.2
2022,88%,64%,"1,38","13,5",1.375,13.5,88,64
2023,89%,67%,"1,33","12,3",1.32985074626866,12.3,89.1,67
