DTNASC,p90,p10,razao,coef_var,ratio,coef_var_num,p90_num,p10_num
2000,75%,5%,"13,92","70,2",13.9222222222222,70.2,75.18,5.4
2001,78%,6%,"13,28","70,1",13.2764505119454,70.1,77.8,5.86
2002,80%,8%,"10,73","65,7",10.728,65.7,80.4600000000001,7.5
2003,83%,8%,"9,95","62,9",9.95180722891566,62.9,82.6,8.3
2004,84%,9%,"9,26","61,3",9.26373626373626,61.3,84.3,9.1
2005,84%,11%,"7,95","59,5",7.95377358490566,59.5,84.31,10.6
2006,85%,12%,"7,16","55,2",7.15736040609137,55.2,84.6,11.82
2007,86%,13%,"6,79","52,8",6.78968253968254,52.8,85.55,12.6
2008,88%,15%,"5,72","50,5",5.72352941176471,50.5,87.57,15.3
2009,87%,16%,"5,43","49,3",5.42857142857143,49.3,87.4,16.1
2010,89%,19%,"4,62","45,5",4.62015503875969,45.5,89.4,19.35
2011,88%,26%,"3,32","38,6",3.31570996978852,38.6,87.8,26.48
2012,85%,30%,"2,83","34,7",2.82824933687003,34.7,85.3,30.16
2013,85%,30%,"2,82","33,7",2.81736824660259,33.7,85,30.17
2014,86%,35%,"2,43","30,3",2.42784380305603,30.3,85.8,35.34
2015,87%,38%,"2,3","28,6",2.3030142781597,28.6,87.1,37.82
2016,88%,39%,"2,25","28,1",2.25077081192189,28.1,87.6,38.92
2017,89%,40%,"2,21","27,4",2.20562608912123,27.4,88.6,40.17
2018,89%,45%,"1,97","24,9",1.97111111111111,24.9,88.7,45
2019,90%,49%,"1,85","23,1",1.84507910417095,23.1,89.8,48.67
2020,89%,46%,"1,94","24,7",1.94130434782609,24.7,89.3,46
2021,90%,51%,"1,75","21,8",1.74658869395712,21.8,89.6,51.3
2022,90%,57%,"1,59","19,2",1.59259259259259,19.2,90.3,56.7
2023,92%,62%,"1,49","17,5",1.48953431770242,17.5,91.8,61.63
