DTNASC,p90,p10,razao,coef_var,ratio,coef_var_num,p90_num,p10_num
2000,9%,3%,"3,25","42,2",3.25,42.2,9.1,2.8
2001,11%,3%,"3,27","73,3",3.27272727272727,73.3,10.8,3.3
2002,10%,3%,"3,43","43,1",3.42857142857143,43.1,9.6,2.8
2003,10%,3%,"3,31","43,1",3.31034482758621,43.1,9.6,2.9
2004,9%,3%,"3,36","43,6",3.35714285714286,43.6,9.4,2.8
2005,9%,3%,"3,41","44,7",3.41111111111111,44.7,9.20999999999999,2.7
2006,9%,3%,"3,35",44,3.35000000000001,44,9.38000000000002,2.8
2007,10%,3%,"3,39","44,9",3.39285714285714,44.9,9.5,2.8
2008,9%,3%,"3,32","45,4",3.32142857142857,45.4,9.3,2.8
2009,10%,3%,"3,39","45,4",3.39285714285714,45.4,9.5,2.8
2010,10%,3%,"3,56","47,2",3.55555555555556,47.2,9.6,2.7
2011,10%,3%,"3,33","45,3",3.33333333333333,45.3,9.6,2.88
2012,10%,3%,"3,65",47,3.65384615384615,47,9.5,2.6
2013,10%,3%,"3,52","47,1",3.51851851851852,47.1,9.5,2.7
2014,9%,3%,"3,69","48,3",3.69047619047619,48.3,9.3,2.52
2015,10%,3%,"3,68","49,7",3.68461538461538,49.7,9.57999999999999,2.6
2016,10%,3%,"3,56","49,7",3.55555555555556,49.7,9.6,2.7
2017,10%,3%,"3,69",50,3.69230769230769,50,9.6,2.6
2018,10%,2%,"4,00","53,2",4,53.2,9.6,2.4
2019,10%,3%,"3,88","52,1",3.88461538461538,52.1,10.1,2.6
2020,10%,3%,"3,85","52,6",3.84615384615385,52.6,10,2.6
2021,10%,3%,"3,81","52,1",3.81481481481482,52.1,10.3,2.7
2022,11%,3%,"3,79","51,5",3.7945205479452,51.5,11.08,2.92
2023,11%,3%,"4,04","53,7",4.03571428571429,53.7,11.3,2.8
